auth0-angular,5.0.0,2016-06-21T20:22:22.630Z,a,d,protractor
auth0-angular,5.0.0,2016-06-21T20:22:22.630Z,a,d,selenium-webdriver
auth0-angular,5.0.0,2016-06-21T20:22:22.630Z,a,d,sinon
auth0-angular,5.0.0,2016-06-21T20:22:22.630Z,a,d,uglify-js
@types/orchestrator,1.5.28-alpha,2016-07-08T21:03:35.737Z,a,p,@types/q
@types/notify,5000.0.26-alpha,2016-07-08T21:04:17.565Z,a,p,@types/jquery
@types/react-swf,3.0.25-alpha,2016-07-08T21:19:10.505Z,a,p,@types/react
@types/oclazyload,3.0.28-alpha,2016-07-11T22:29:31.112Z,a,p,@types/angular
textio-karma-jasmine-html-reporter,1.0.0,2016-07-14T22:05:39.578Z,a,p,karma-jasmine
karma-jasmine-textio-html-reporter,1.0.0,2016-07-14T22:09:14.038Z,a,p,karma-jasmine
auth0-extension-mongo-tools,0.1.0,2016-08-15T23:07:12.969Z,a,d,autochecker
auth0-extension-mongo-tools,0.1.0,2016-08-15T23:07:12.969Z,a,d,eslint
auth0-extension-mongo-tools,0.1.0,2016-08-15T23:07:12.969Z,a,d,eslint-config-airbnb
auth0-extension-mongo-tools,0.1.0,2016-08-15T23:07:12.969Z,a,d,eslint-plugin-import
auth0-extension-mongo-tools,0.1.0,2016-08-15T23:07:12.969Z,a,d,faucet
auth0-extension-mongo-tools,0.1.0,2016-08-15T23:07:12.969Z,a,d,nock
auth0-extension-mongo-tools,0.1.0,2016-08-15T23:07:12.969Z,a,d,nyc
auth0-extension-mongo-tools,0.1.0,2016-08-15T23:07:12.969Z,a,d,tape
auth0-extension-mongo-tools,0.1.0,2016-08-15T23:07:12.969Z,a,p,async
auth0-extension-mongo-tools,0.1.0,2016-08-15T23:07:12.969Z,a,p,auth0-extension-tools
auth0-extension-mongo-tools,0.1.0,2016-08-15T23:07:12.969Z,a,p,bluebird
auth0-extension-mongo-tools,0.1.0,2016-08-15T23:07:12.969Z,a,p,mongodb
