1451624400,19459,
1454302800,20250,
1456808400,37595,
1459483200,177250,
1462075200,180155,
1464753600,183005,
1467345600,185547,
1470024000,188435,
1472702400,191380,1
1475294400,194299,2
1477972800,197406,3
1480568400,200263,4
1483246800,203277,5
1485925200,206167,6
1488344400,209490,7
1491019200,213119,8
1493611200,216674,9
1496289600,220286,10
1498881600,224311,11
1501560000,228284,12
1504238400,232088,13
1506830400,235553,14
1509508800,239702,15
1512104400,243665,16
1514782800,247653,17
1517461200,252333,18
1519880400,256309,19
1522555200,260864,20
1525147200,265246,21
1527825600,269731,22
1530417600,274377,23
1533096000,279313,24
1535774400,283945,25
1538366400,288559,26
1541044800,293040,27
1543640400,298178,28
1546318800,302278,29
1548997200,307180,30
1551416400,312046,31
1554091200,317654,32
1556683200,322652,33
1559361600,327874,34
1561953600,332689,35
1564632000,337823,36
1567310400,342832,37
1569902400,347868,38
1572580800,352818,39
1575176400,357748,40
1577854800,362687,41
1580533200,367708,42
1583038800,372239,43
1585713600,377664,44
1588305600,383037,45
1590984000,388567,46
1593576000,393712,47
1596254400,398937,48
1598932800,404000,49
1601524800,409231,50
1604203200,414052,51
1606798800,418796,52
1609477200,423693,53
1612155600,428984,54
1614574800,434012,55
1617249600,441572,56
1619841600,448090,57
1622520000,454058,58
1625112000,465762,59
1627790400,471242,60
