1480568400,311767,
1483246800,313875,
1485925200,316242,
1488344400,319068,
1491019200,322228,
1493611200,325351,
1496289600,328558,1
1498881600,332237,2
1501560000,335838,3
1504238400,339377,4
1506830400,342591,5
1509508800,346502,6
1512104400,350271,7
1514782800,354079,8
1517461200,358486,9
1519880400,362319,10
1522555200,366719,11
1525147200,370913,12
1527825600,375247,13
1530417600,379793,14
1533096000,384529,15
1535774400,389046,16
1538366400,393574,17
1541044800,397995,18
1543640400,403010,19
1546318800,407020,20
1548997200,411861,21
1551416400,416643,22
1554091200,422206,23
1556683200,427355,24
1559361600,432570,25
1561953600,437412,26
1564632000,442537,27
1567310400,447480,28
1569902400,452535,29
1572580800,457469,30
1575176400,462421,31
1577854800,467341,32
1580533200,472399,33
1583038800,477008,34
1585713600,482513,35
1588305600,488013,36
1590984000,493738,37
1593576000,498971,38
1596254400,504384,39
1598932800,509629,40
1601524800,515019,41
1604203200,520850,42
1606798800,527406,43
