1451624400,36994,
1454302800,38506,
1456808400,40022,
1459483200,22340,
1462075200,25592,
1464753600,24574,
1467345600,25372,
1470024000,25817,
1472702400,24709,
1475294400,24554,
1477972800,22829,
1480568400,23427,
1483246800,23822,
1485925200,24551,
1488344400,25073,
1491019200,25717,1
1493611200,26769,2
1496289600,28035,3
1498881600,28697,4
1501560000,29998,5
1504238400,32212,6
1506830400,32671,7
1509508800,33806,8
1512104400,34734,9
1514782800,35635,10
1517461200,36770,11
1519880400,37977,12
1522555200,39014,13
1525147200,39979,14
1527825600,41063,15
1530417600,42121,16
1533096000,43041,17
1535774400,23483,
1538366400,23966,
1541044800,24540,
1543640400,25074,
1546318800,25580,
1548997200,26106,1
1551416400,26708,2
1554091200,26955,3
1556683200,27608,4
1559361600,27283,
1561953600,27835,
1564632000,28340,
1567310400,28930,
1569902400,29499,
1572580800,30008,1
1575176400,30576,2
1577854800,31166,3
1580533200,31676,4
1583038800,32183,5
1585713600,32790,6
1588305600,33399,7
1590984000,33973,8
1593576000,34467,9
1596254400,35004,10
1598932800,35468,11
1601524800,35976,12
1604203200,36433,13
1606798800,36896,14
1609477200,37400,15
1612155600,37926,16
1614574800,38423,17
1617249600,40536,
1619841600,41820,
1622520000,42596,1
1625112000,44140,2
