1530417600,92220,
1533096000,91884,
1535774400,58078,
1538366400,58284,
1541044800,55738,
1543640400,57071,
1546318800,55189,
1548997200,57815,
1551416400,57824,
1554091200,56905,
1556683200,62267,
1559361600,63705,
1561953600,65004,
1564632000,64546,
1567310400,65757,
1569902400,67062,
1572580800,66036,
1575176400,67538,
1577854800,68648,
1580533200,66117,
1583038800,65778,
1585713600,66997,
1588305600,68270,
1590984000,69609,
1593576000,74233,
1596254400,77668,
1598932800,78848,1
1601524800,80088,2
1604203200,81083,
1606798800,80058,
1609477200,81199,
1612155600,82484,
1614574800,83706,
1617249600,86704,
1619841600,88861,1
1622520000,90485,2
1625112000,93459,3
